Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
hair-dryer,Hair Dryer,"<p>Compact hair dryer for quick drying and daily personal care at home.</p>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"Personal Care, Hair Dryer, COD",TRUE,Title,Default Title,PHE-PC-011,58,3999,4699,TRUE,TRUE,https://placehold.co/900x900?text=Hair+Dryer,Hair Dryer Pakistan,Shop compact hair dryer online in Pakistan with COD,active
trimmer,Trimmer,"<p>Rechargeable trimmer for grooming, beard shaping, and regular personal care.</p>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"Personal Care, Trimmer, Grooming",TRUE,Title,Default Title,PHE-PC-012,85,2799,3399,TRUE,TRUE,https://placehold.co/900x900?text=Trimmer,Trimmer Pakistan,Rechargeable grooming trimmer for men in Pakistan,active
water-dispenser-pump,Water Dispenser Pump,"<p>Portable water dispenser pump for bottles, kitchens, offices, and daily family use.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Daily Use Products,"Daily Use Products, Water Pump, Kitchen",TRUE,Title,Default Title,PHE-DU-013,95,1899,2399,TRUE,TRUE,https://placehold.co/900x900?text=Water+Pump,Water Dispenser Pump Pakistan,Portable water dispenser pump for bottles in Pakistan,active
lunch-box,Lunch Box,"<p>Practical lunch box for school, office, and travel with organized compartments.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Daily Use Products,"Lunch Box, Daily Use, Kitchen",TRUE,Title,Default Title,PHE-DU-014,110,1299,1699,TRUE,TRUE,https://placehold.co/900x900?text=Lunch+Box,Lunch Box Pakistan,Buy lunch box for school office and travel in Pakistan,active
cleaning-brush-set,Cleaning Brush Set,"<p>Multi-purpose brush set for kitchen, bathroom, tiles, corners, and daily cleaning tasks.</p>",Pak Home Essentials,Home & Garden > Household Supplies,Home Cleaning,"Home Cleaning, Brush Set, Cleaning",TRUE,Title,Default Title,PHE-HC-015,130,999,1399,TRUE,TRUE,https://placehold.co/900x900?text=Cleaning+Brush+Set,Cleaning Brush Set Pakistan,Useful cleaning brush set for kitchen and bathroom in Pakistan,active
sandwich-maker,Sandwich Maker,"<p>Easy sandwich maker for quick breakfast, snacks, and family tea-time meals.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen Appliances, Sandwich Maker, Breakfast",TRUE,Title,Default Title,PHE-KA-016,45,5999,6999,TRUE,TRUE,https://placehold.co/900x900?text=Sandwich+Maker,Sandwich Maker Pakistan,Shop sandwich maker for quick snacks and breakfast in Pakistan,active
rice-cooker,Rice Cooker,"<p>Convenient rice cooker for everyday meals with simple operation for busy households.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen Appliances, Rice Cooker, Home",TRUE,Title,Default Title,PHE-KA-017,40,7999,8999,TRUE,TRUE,https://placehold.co/900x900?text=Rice+Cooker,Rice Cooker Pakistan,Buy rice cooker online in Pakistan with COD available,active
air-fryer,Air Fryer,"<p>Air fryer for lower-oil snacks, fries, chicken, and quick family meals.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen Appliances, Air Fryer, Deals",TRUE,Title,Default Title,PHE-KA-018,35,19999,22999,TRUE,TRUE,https://placehold.co/900x900?text=Air+Fryer,Air Fryer Pakistan,Shop air fryer for easy low-oil cooking in Pakistan,active
extension-board,Extension Board,"<p>Multi-socket extension board for home appliances, chargers, and office electronics.</p>",Pak Home Essentials,Electronics > Power,Daily Use Products,"Daily Use Products, Extension Board, Electronics",TRUE,Title,Default Title,PHE-DU-019,95,2199,2799,TRUE,TRUE,https://placehold.co/900x900?text=Extension+Board,Extension Board Pakistan,Durable extension board for home and office use in Pakistan,active
clothes-drying-stand,Clothes Drying Stand,"<p>Foldable clothes drying stand for balconies, laundry rooms, and compact homes.</p>",Pak Home Essentials,Home & Garden > Household Supplies,Storage & Organization,"Storage, Laundry, Drying Stand",TRUE,Title,Default Title,PHE-SO-020,50,4999,5799,TRUE,TRUE,https://placehold.co/900x900?text=Drying+Stand,Clothes Drying Stand Pakistan,Foldable clothes drying stand for laundry use in Pakistan,active
shoe-organizer,Shoe Organizer,"<p>Space-saving shoe organizer for bedrooms, entryways, and family storage areas.</p>",Pak Home Essentials,Home & Garden > Storage & Organization,Storage & Organization,"Storage, Shoe Organizer, Home",TRUE,Title,Default Title,PHE-SO-021,70,2499,3199,TRUE,TRUE,https://placehold.co/900x900?text=Shoe+Organizer,Shoe Organizer Pakistan,Organize shoes neatly with a space-saving organizer in Pakistan,active
vegetable-cutter,Vegetable Cutter,"<p>Manual vegetable cutter for faster chopping, slicing, and daily meal preparation.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen, Vegetable Cutter, Daily Use",TRUE,Title,Default Title,PHE-KA-022,100,1499,1999,TRUE,TRUE,https://placehold.co/900x900?text=Vegetable+Cutter,Vegetable Cutter Pakistan,Manual vegetable cutter for faster cooking prep in Pakistan,active
dish-rack,Dish Rack,"<p>Kitchen dish rack for plates, cups, spoons, and drying after washing.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Storage & Organization,"Kitchen, Dish Rack, Storage",TRUE,Title,Default Title,PHE-SO-023,60,2699,3299,TRUE,TRUE,https://placehold.co/900x900?text=Dish+Rack,Dish Rack Pakistan,Useful dish rack for kitchen drying and organization in Pakistan,active
bathroom-shelf,Bathroom Shelf,"<p>Wall-friendly bathroom shelf for toiletries, soaps, bottles, and daily bathroom storage.</p>",Pak Home Essentials,Home & Garden > Bathroom Accessories,Storage & Organization,"Storage, Bathroom, Shelf",TRUE,Title,Default Title,PHE-SO-024,85,1699,2199,TRUE,TRUE,https://placehold.co/900x900?text=Bathroom+Shelf,Bathroom Shelf Pakistan,Bathroom shelf for organized toiletries and daily use in Pakistan,active
rechargeable-torch,Rechargeable Torch,"<p>Rechargeable torch for load shedding, travel, emergency use, and home safety.</p>",Pak Home Essentials,Home & Garden > Lighting,Daily Use Products,"Daily Use, Torch, Rechargeable",TRUE,Title,Default Title,PHE-DU-025,100,1999,2499,TRUE,TRUE,https://placehold.co/900x900?text=Rechargeable+Torch,Rechargeable Torch Pakistan,Rechargeable torch for emergency and load shedding in Pakistan,active
steam-iron,Steam Iron,"<p>Steam iron for smoother clothes, regular home ironing, and office wear care.</p>",Pak Home Essentials,Home & Garden > Household Appliances,Daily Use Products,"Daily Use Products, Steam Iron, Clothes",TRUE,Title,Default Title,PHE-DU-026,55,4999,5999,TRUE,TRUE,https://placehold.co/900x900?text=Steam+Iron,Steam Iron Pakistan,Buy steam iron online in Pakistan with fast delivery,active
electric-chopper,Electric Chopper,"<p>Electric chopper for onions, vegetables, herbs, and daily cooking preparation.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen Appliances, Chopper, Cooking",TRUE,Title,Default Title,PHE-KA-027,65,3799,4599,TRUE,TRUE,https://placehold.co/900x900?text=Electric+Chopper,Electric Chopper Pakistan,Electric chopper for fast meal prep in Pakistani kitchens,active
hand-juicer,Hand Juicer,"<p>Manual hand juicer for lemons, oranges, and fresh drinks at home.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen, Juicer, Daily Use",TRUE,Title,Default Title,PHE-KA-028,90,1199,1599,TRUE,TRUE,https://placehold.co/900x900?text=Hand+Juicer,Hand Juicer Pakistan,Manual hand juicer for fresh drinks in Pakistan,active
food-storage-containers,Food Storage Containers,"<p>Food storage containers for leftovers, snacks, grains, and fridge organization.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Storage & Organization,"Storage, Food Containers, Kitchen",TRUE,Title,Default Title,PHE-SO-029,115,1899,2399,TRUE,TRUE,https://placehold.co/900x900?text=Food+Containers,Food Storage Containers Pakistan,Food containers for kitchen and fridge organization in Pakistan,active
foldable-laundry-basket,Foldable Laundry Basket,"<p>Foldable laundry basket for clothes, towels, and compact home storage.</p>",Pak Home Essentials,Home & Garden > Household Supplies,Storage & Organization,"Storage, Laundry Basket, Home",TRUE,Title,Default Title,PHE-SO-030,90,1499,1999,TRUE,TRUE,https://placehold.co/900x900?text=Laundry+Basket,Foldable Laundry Basket Pakistan,Foldable laundry basket for compact homes in Pakistan,active
